WORD,FREQUENCY 
and,630 
the,604 
i,501 
to,415 
of,369 
you,355 
,354 
brutus,323 
that,279 
a,262 
not,244 
is,243 
in,223 
cassius,201 
my,186 
caesar,184 
he,180 
it,170 
for,166 
his,155 
me,154 
with,153 
will,151 
this,150 
have,145 
but,144 
be,144 
as,135 
your,130 
what,124 
shall,124 
do,122 
so,119 
him,115 
thou,113 
all,107 
are,103 
by,99 
antony,98 
we,96 
no,89 
our,87 
if,81 
did,73 
o,72 
on,70 
good,69 
citizen,69 
casca,67 
when,67 
let,64 
they,63 
come,63 
their,62 
then,62 
was,60 
know,59 
at,58 
thy,54 
am,54 
now,54 
caesar,53 
well,52 
from,50 
him,50 
us,49 
them,48 
here,47 
which,46 
upon,45 
would,45 
lucius,44 
thee,44 
brutus,43 
enter,43 
why,43 
or,43 
men,42 
there,42 
than,41 
go,41 
some,41 
octavius,40 
caesars,40 
like,40 
should,40 
noble,39 
yet,37 
such,37 
you,36 
must,36 
tell,36 
were,36 
first,35 
speak,35 
me,35 
these,35 
see,35 
man,35 
give,35 
hath,35 
cinna,34 
hear,34 
an,33 
may,32 
more,32 
how,32 
mark,31 
titinius,30 
messala,30 
doth,30 
love,30 
antony,30 
where,29 
second,29 
up,28 
most,28 
who,28 
much,28 
great,27 
lord,27 
stand,27 
look,27 
portia,26 
cassius,26 
say,26 
every,25 
had,25 
one,25 
rome,24 
decius,24 
lucilius,24 
nor,24 
make,24 
it,24 
tis,23 
fear,23 
till,22 
men,22 
bear,22 
think,22 
art,21 
friends,21 
mine,21 
man,21 
take,21 
third,20 
scene,20 
sir,20 
out,20 
so,20 
friend,19 
rome,19 
can,19 
i,18 
gods,18 
ill,18 
too,18 
done,18 
metellus,17 
time,17 
down,17 
leave,17 
bid,17 
ay,17 
forth,17 
even,17 
lord,17 
messala,17 
death,16 
pindarus,16 
put,16 
comes,16 
find,16 
peace,16 
any,16 
could,16 
never,16 
hand,16 
word,16 
night,16 
heart,16 
blood,16 
fourth,16 
death,15 
day,15 
about,15 
into,15 
many,15 
this,15 
thus,15 
exit,15 
stay,15 
lucius,15 
roman,14 
servant,14 
clitus,14 
exeunt,14 
other,14 
true,14 
us,14 
reenter,14 
mighty,14 
here,14 
die,14 
not,13 
made,13 
run,13 
exeunt,13 
before,13 
show,13 
hand,13 
therefore,13 
hold,13 
well,13 
name,13 
he,13 
meet,13 
fire,13 
unto,13 
night,13 
romans,13 
house,13 
them,13 
wrong,13 
ligarius,12 
cicero,12 
varro,12 
strato,12 
best,12 
on,12 
fly,12 
off,12 
set,12 
spirit,12 
myself,12 
very,12 
hast,12 
again,12 
part,12 
better,12 
honorable,12 
things,12 
read,12 
after,11 
trebonius,11 
caius,11 
answer,11 
ever,11 
follow,11 
capitol,11 
away,11 
else,11 
ho,11 
say,11 
fellow,11 
might,11 
honor,11 
hands,11 
farewell,11 
exit,11 
will,11 
young,11 
boy,11 
within,11 
heart,11 
come,11 
against,10 
calpurnia,10 
and,10 
get,10 
being,10 
dost,10 
live,10 
today,10 
her,10 
fall,10 
keep,10 
soothsayer,10 
do,10 
himself,10 
gentle,10 
day,10 
fell,10 
too,10 
sword,10 
world,10 
bloody,10 
bring,10 
thee,10 
publius,10 
soldier,10 
lepidus,9 
marullus,9 
cato,9 
claudio,9 
indeed,9 
hearts,9 
poor,9 
way,9 
says,9 
cry,9 
once,9 
only,9 
worthy,9 
know,9 
said,9 
now,9 
body,9 
under,9 
time,9 
crown,9 
own,9 
mean,9 
those,9 
send,9 
full,9 
dead,9 
two,9 
cause,9 
bears,9 
today,9 
down,9 
general,8 
cimber,8 
flavius,8 
near,8 
hence,8 
myself,8 
work,8 
blood,8 
all,8 
again,8 
eyes,8 
seek,8 
yourself,8 
common,8 
world,8 
alas,8 
ye,8 
another,8 
dear,8 
yours,8 
nothing,8 
rather,8 
back,8 
people,8 
sure,8 
please,8 
capitol,8 
strong,8 
march,8 
pardon,8 
hark,8 
senate,8 
master,8 
didst,8 
marcus,7 
popilius,7 
dardanius,7 
home,7 
commoner,7 
truly,7 
bad,7 
old,7 
lead,7 
streets,7 
saw,7 
gone,7 
pray,7 
matter,7 
place,7 
ides,7 
face,7 
loves,7 
turn,7 
one,7 
means,7 
cannot,7 
both,7 
life,7 
be,7 
is,7 
same,7 
titinius,7 
sick,7 
walk,7 
moved,7 
rest,7 
seen,7 
anything,7 
durst,7 
been,7 
away,7 
gods,7 
there,7 
change,7 
place,7 
vile,7 
stir,7 
ho,7 
out,7 
none,7 
morrow,7 
hour,7 
